Epoch 0 | Time: 198.9s | MSE Loss: 0.1177 | Acc (±15°): 71.02% | LR: 0.000500
Epoch 1 | Time: 201.5s | MSE Loss: 0.1210 | Acc (±15°): 71.63% | LR: 0.000492
Epoch 2 | Time: 197.7s | MSE Loss: 0.1130 | Acc (±15°): 72.64% | LR: 0.000484
Epoch 3 | Time: 197.1s | MSE Loss: 0.1147 | Acc (±15°): 71.96% | LR: 0.000476
Epoch 4 | Time: 199.9s | MSE Loss: 0.1318 | Acc (±15°): 67.95% | LR: 0.000468
Epoch 5 | Time: 199.0s | MSE Loss: 0.1127 | Acc (±15°): 71.42% | LR: 0.000460
Epoch 0 | Time: 199.0s | MSE Loss: 0.1220 | Acc (±15°): 69.91% | LR: 0.000500
Epoch 1 | Time: 200.1s | MSE Loss: 0.1107 | Acc (±15°): 72.72% | LR: 0.000491
Epoch 2 | Time: 201.7s | MSE Loss: 0.1142 | Acc (±15°): 72.42% | LR: 0.000482
Epoch 3 | Time: 198.0s | MSE Loss: 0.1201 | Acc (±15°): 71.69% | LR: 0.000473
Epoch 4 | Time: 198.7s | MSE Loss: 0.1131 | Acc (±15°): 71.78% | LR: 0.000464
Epoch 5 | Time: 200.0s | MSE Loss: 0.1232 | Acc (±15°): 71.19% | LR: 0.000455
Epoch 6 | Time: 197.6s | MSE Loss: 0.1138 | Acc (±15°): 71.92% | LR: 0.000446
Epoch 7 | Time: 199.5s | MSE Loss: 0.1109 | Acc (±15°): 72.62% | LR: 0.000437
Epoch 8 | Time: 198.6s | MSE Loss: 0.1407 | Acc (±15°): 68.42% | LR: 0.000428
Epoch 9 | Time: 196.5s | MSE Loss: 0.1277 | Acc (±15°): 69.77% | LR: 0.000419
Epoch 10 | Time: 196.4s | MSE Loss: 0.1140 | Acc (±15°): 71.56% | LR: 0.000410
Epoch 11 | Time: 196.6s | MSE Loss: 0.1113 | Acc (±15°): 72.86% | LR: 0.000401
Epoch 12 | Time: 193.1s | MSE Loss: 0.1180 | Acc (±15°): 72.18% | LR: 0.000392
Epoch 13 | Time: 196.2s | MSE Loss: 0.1142 | Acc (±15°): 72.58% | LR: 0.000383
Epoch 14 | Time: 196.0s | MSE Loss: 0.1150 | Acc (±15°): 72.56% | LR: 0.000374
Epoch 15 | Time: 196.0s | MSE Loss: 0.1081 | Acc (±15°): 73.11% | LR: 0.000365
Epoch 16 | Time: 194.8s | MSE Loss: 0.1078 | Acc (±15°): 73.01% | LR: 0.000356
Epoch 17 | Time: 198.7s | MSE Loss: 0.1132 | Acc (±15°): 72.10% | LR: 0.000347
Epoch 18 | Time: 196.9s | MSE Loss: 0.1360 | Acc (±15°): 68.56% | LR: 0.000338
Epoch 19 | Time: 209.6s | MSE Loss: 0.1223 | Acc (±15°): 70.29% | LR: 0.000329
Epoch 20 | Time: 202.3s | MSE Loss: 0.1266 | Acc (±15°): 70.54% | LR: 0.000320
