Epoch 0 | Time: 84.8s | MSE Loss: 0.2551 | Acc (±15°): 52.04% | LR: 0.000991
Epoch 1 | Time: 85.4s | MSE Loss: 0.2473 | Acc (±15°): 53.16% | LR: 0.000982
Epoch 2 | Time: 85.6s | MSE Loss: 0.2314 | Acc (±15°): 56.00% | LR: 0.000973
Epoch 3 | Time: 84.9s | MSE Loss: 0.2520 | Acc (±15°): 52.76% | LR: 0.000964
Epoch 4 | Time: 86.1s | MSE Loss: 0.2276 | Acc (±15°): 54.28% | LR: 0.000955
Epoch 5 | Time: 84.7s | MSE Loss: 0.2435 | Acc (±15°): 55.56% | LR: 0.000946
Epoch 6 | Time: 91.8s | MSE Loss: 0.2235 | Acc (±15°): 55.80% | LR: 0.000937
Epoch 7 | Time: 85.5s | MSE Loss: 0.1977 | Acc (±15°): 57.24% | LR: 0.000928
Epoch 8 | Time: 90.8s | MSE Loss: 0.2394 | Acc (±15°): 54.96% | LR: 0.000919
Epoch 9 | Time: 85.7s | MSE Loss: 0.2342 | Acc (±15°): 55.48% | LR: 0.000910
Epoch 10 | Time: 92.6s | MSE Loss: 0.2399 | Acc (±15°): 56.28% | LR: 0.000901
Epoch 11 | Time: 85.6s | MSE Loss: 0.2358 | Acc (±15°): 55.60% | LR: 0.000892
Epoch 12 | Time: 93.2s | MSE Loss: 0.2250 | Acc (±15°): 55.84% | LR: 0.000883
Epoch 13 | Time: 85.3s | MSE Loss: 0.2212 | Acc (±15°): 56.84% | LR: 0.000874
Epoch 14 | Time: 93.8s | MSE Loss: 0.2606 | Acc (±15°): 51.76% | LR: 0.000865
Epoch 15 | Time: 84.8s | MSE Loss: 0.2507 | Acc (±15°): 51.16% | LR: 0.000856
Epoch 0 | Time: 87.1s | MSE Loss: 0.2385 | Acc (±15°): 55.15% | LR: 0.000991
Epoch 1 | Time: 92.6s | MSE Loss: 0.2275 | Acc (±15°): 56.22% | LR: 0.000982
Epoch 2 | Time: 87.8s | MSE Loss: 0.2375 | Acc (±15°): 54.59% | LR: 0.000973
Epoch 3 | Time: 91.1s | MSE Loss: 0.2294 | Acc (±15°): 56.18% | LR: 0.000964
Epoch 4 | Time: 85.4s | MSE Loss: 0.2279 | Acc (±15°): 56.05% | LR: 0.000955
Epoch 5 | Time: 93.2s | MSE Loss: 0.2246 | Acc (±15°): 56.90% | LR: 0.000946
Epoch 6 | Time: 86.9s | MSE Loss: 0.2187 | Acc (±15°): 57.03% | LR: 0.000937
Epoch 0 | Time: 83.2s | MSE Loss: 0.3000 | Acc (±15°): 44.07% | LR: 0.004951
Epoch 1 | Time: 85.2s | MSE Loss: 0.3162 | Acc (±15°): 42.15% | LR: 0.004902
Epoch 0 | Time: 83.5s | MSE Loss: 0.2594 | Acc (±15°): 50.80% | LR: 0.000991
Epoch 1 | Time: 88.0s | MSE Loss: 0.2414 | Acc (±15°): 53.42% | LR: 0.000982
Epoch 2 | Time: 86.2s | MSE Loss: 0.2292 | Acc (±15°): 56.84% | LR: 0.000973
Epoch 3 | Time: 90.3s | MSE Loss: 0.2272 | Acc (±15°): 55.57% | LR: 0.000964
Epoch 4 | Time: 85.3s | MSE Loss: 0.2289 | Acc (±15°): 57.05% | LR: 0.000955
Epoch 5 | Time: 95.0s | MSE Loss: 0.2218 | Acc (±15°): 57.92% | LR: 0.000946
Epoch 6 | Time: 88.1s | MSE Loss: 0.2166 | Acc (±15°): 57.52% | LR: 0.000937
Epoch 7 | Time: 99.3s | MSE Loss: 0.2190 | Acc (±15°): 58.27% | LR: 0.000928
Epoch 8 | Time: 95.1s | MSE Loss: 0.2111 | Acc (±15°): 58.65% | LR: 0.000919
Epoch 9 | Time: 91.2s | MSE Loss: 0.2068 | Acc (±15°): 59.16% | LR: 0.000910
Epoch 10 | Time: 91.2s | MSE Loss: 0.2237 | Acc (±15°): 56.45% | LR: 0.000901
Epoch 11 | Time: 90.3s | MSE Loss: 0.2180 | Acc (±15°): 57.10% | LR: 0.000892
Epoch 12 | Time: 87.4s | MSE Loss: 0.2229 | Acc (±15°): 57.57% | LR: 0.000883
Epoch 13 | Time: 91.8s | MSE Loss: 0.2235 | Acc (±15°): 57.41% | LR: 0.000874
Epoch 14 | Time: 87.5s | MSE Loss: 0.2226 | Acc (±15°): 58.00% | LR: 0.000865
Epoch 15 | Time: 90.5s | MSE Loss: 0.2173 | Acc (±15°): 58.29% | LR: 0.000856
Epoch 16 | Time: 89.6s | MSE Loss: 0.2139 | Acc (±15°): 58.00% | LR: 0.000847
Epoch 17 | Time: 93.4s | MSE Loss: 0.2181 | Acc (±15°): 58.30% | LR: 0.000838
Epoch 18 | Time: 89.4s | MSE Loss: 0.2284 | Acc (±15°): 56.05% | LR: 0.000829
Epoch 19 | Time: 93.3s | MSE Loss: 0.2232 | Acc (±15°): 57.09% | LR: 0.000820
Epoch 20 | Time: 90.5s | MSE Loss: 0.2168 | Acc (±15°): 56.96% | LR: 0.000811
Epoch 21 | Time: 99.5s | MSE Loss: 0.2163 | Acc (±15°): 58.23% | LR: 0.000802
Epoch 22 | Time: 91.2s | MSE Loss: 0.2242 | Acc (±15°): 57.60% | LR: 0.000793
Epoch 23 | Time: 94.9s | MSE Loss: 0.2123 | Acc (±15°): 59.40% | LR: 0.000784
Epoch 24 | Time: 93.4s | MSE Loss: 0.2131 | Acc (±15°): 59.02% | LR: 0.000775
Epoch 25 | Time: 98.1s | MSE Loss: 0.2126 | Acc (±15°): 59.70% | LR: 0.000766
Epoch 26 | Time: 93.7s | MSE Loss: 0.2210 | Acc (±15°): 57.26% | LR: 0.000757
Epoch 27 | Time: 92.7s | MSE Loss: 0.2127 | Acc (±15°): 58.53% | LR: 0.000748
Epoch 28 | Time: 93.3s | MSE Loss: 0.2103 | Acc (±15°): 59.39% | LR: 0.000739
Epoch 29 | Time: 93.3s | MSE Loss: 0.2074 | Acc (±15°): 59.55% | LR: 0.000730
Epoch 30 | Time: 94.7s | MSE Loss: 0.2226 | Acc (±15°): 59.32% | LR: 0.000721
Epoch 31 | Time: 93.2s | MSE Loss: 0.2102 | Acc (±15°): 59.99% | LR: 0.000712
Epoch 32 | Time: 93.4s | MSE Loss: 0.2042 | Acc (±15°): 58.87% | LR: 0.000703
Epoch 33 | Time: 93.6s | MSE Loss: 0.2033 | Acc (±15°): 59.47% | LR: 0.000694
Epoch 34 | Time: 100.8s | MSE Loss: 0.2126 | Acc (±15°): 59.30% | LR: 0.000685
Epoch 35 | Time: 98.4s | MSE Loss: 0.2043 | Acc (±15°): 59.90% | LR: 0.000676
Epoch 36 | Time: 111.5s | MSE Loss: 0.2094 | Acc (±15°): 60.75% | LR: 0.000667
Epoch 37 | Time: 94.0s | MSE Loss: 0.2114 | Acc (±15°): 59.43% | LR: 0.000658
Epoch 38 | Time: 96.4s | MSE Loss: 0.1989 | Acc (±15°): 60.95% | LR: 0.000649
Epoch 39 | Time: 90.8s | MSE Loss: 0.1990 | Acc (±15°): 60.30% | LR: 0.000640
Epoch 40 | Time: 97.1s | MSE Loss: 0.2093 | Acc (±15°): 59.33% | LR: 0.000631
Epoch 41 | Time: 88.8s | MSE Loss: 0.2185 | Acc (±15°): 57.40% | LR: 0.000622
Epoch 42 | Time: 95.6s | MSE Loss: 0.2133 | Acc (±15°): 58.52% | LR: 0.000613
Epoch 43 | Time: 89.1s | MSE Loss: 0.2105 | Acc (±15°): 59.47% | LR: 0.000604
Epoch 44 | Time: 128.5s | MSE Loss: 0.2106 | Acc (±15°): 59.30% | LR: 0.000595
Epoch 45 | Time: 125.7s | MSE Loss: 0.2456 | Acc (±15°): 53.64% | LR: 0.000586
Epoch 46 | Time: 120.8s | MSE Loss: 0.2164 | Acc (±15°): 58.78% | LR: 0.000577
Epoch 47 | Time: 131.9s | MSE Loss: 0.2150 | Acc (±15°): 59.41% | LR: 0.000568
Epoch 48 | Time: 135.0s | MSE Loss: 0.2119 | Acc (±15°): 59.06% | LR: 0.000559
Epoch 49 | Time: 117.8s | MSE Loss: 0.2062 | Acc (±15°): 60.07% | LR: 0.000550
Epoch 50 | Time: 125.9s | MSE Loss: 0.2187 | Acc (±15°): 58.80% | LR: 0.000541
Epoch 51 | Time: 141.3s | MSE Loss: 0.2096 | Acc (±15°): 59.12% | LR: 0.000532
Epoch 52 | Time: 88.4s | MSE Loss: 0.2043 | Acc (±15°): 60.52% | LR: 0.000523
Epoch 53 | Time: 95.2s | MSE Loss: 0.1963 | Acc (±15°): 60.73% | LR: 0.000514
Epoch 54 | Time: 87.7s | MSE Loss: 0.2029 | Acc (±15°): 61.11% | LR: 0.000505
Epoch 55 | Time: 94.9s | MSE Loss: 0.2295 | Acc (±15°): 57.13% | LR: 0.000496
Epoch 56 | Time: 88.9s | MSE Loss: 0.2191 | Acc (±15°): 57.55% | LR: 0.000487
Epoch 57 | Time: 92.2s | MSE Loss: 0.2103 | Acc (±15°): 60.13% | LR: 0.000478
Epoch 58 | Time: 89.9s | MSE Loss: 0.2079 | Acc (±15°): 59.22% | LR: 0.000469
Epoch 59 | Time: 92.6s | MSE Loss: 0.2023 | Acc (±15°): 60.61% | LR: 0.000460
Epoch 60 | Time: 88.7s | MSE Loss: 0.1999 | Acc (±15°): 60.84% | LR: 0.000451
Epoch 61 | Time: 94.0s | MSE Loss: 0.2075 | Acc (±15°): 61.16% | LR: 0.000442
Epoch 62 | Time: 92.7s | MSE Loss: 0.2050 | Acc (±15°): 61.12% | LR: 0.000433
Epoch 63 | Time: 101.2s | MSE Loss: 0.1987 | Acc (±15°): 61.48% | LR: 0.000424
Epoch 64 | Time: 93.0s | MSE Loss: 0.2416 | Acc (±15°): 56.75% | LR: 0.000415
Epoch 65 | Time: 92.0s | MSE Loss: 0.2255 | Acc (±15°): 58.43% | LR: 0.000406
Epoch 66 | Time: 93.3s | MSE Loss: 0.2204 | Acc (±15°): 58.56% | LR: 0.000397
Epoch 67 | Time: 92.4s | MSE Loss: 0.2086 | Acc (±15°): 59.23% | LR: 0.000388
Epoch 68 | Time: 93.7s | MSE Loss: 0.2076 | Acc (±15°): 60.25% | LR: 0.000379
Epoch 69 | Time: 93.9s | MSE Loss: 0.2022 | Acc (±15°): 60.92% | LR: 0.000370
Epoch 70 | Time: 92.8s | MSE Loss: 0.2042 | Acc (±15°): 60.11% | LR: 0.000361
Epoch 71 | Time: 92.5s | MSE Loss: 0.2031 | Acc (±15°): 60.53% | LR: 0.000352
Epoch 72 | Time: 97.9s | MSE Loss: 0.2054 | Acc (±15°): 61.12% | LR: 0.000343
Epoch 73 | Time: 92.9s | MSE Loss: 0.2010 | Acc (±15°): 61.70% | LR: 0.000334
Epoch 74 | Time: 99.2s | MSE Loss: 0.1991 | Acc (±15°): 61.04% | LR: 0.000325
Epoch 75 | Time: 91.4s | MSE Loss: 0.1995 | Acc (±15°): 62.24% | LR: 0.000316
Epoch 76 | Time: 101.3s | MSE Loss: 0.2075 | Acc (±15°): 60.07% | LR: 0.000307
Epoch 77 | Time: 93.9s | MSE Loss: 0.2033 | Acc (±15°): 60.91% | LR: 0.000298
Epoch 78 | Time: 100.8s | MSE Loss: 0.2063 | Acc (±15°): 60.37% | LR: 0.000289
Epoch 79 | Time: 95.4s | MSE Loss: 0.1982 | Acc (±15°): 61.45% | LR: 0.000280
Epoch 80 | Time: 96.2s | MSE Loss: 0.1998 | Acc (±15°): 61.25% | LR: 0.000271
Epoch 81 | Time: 91.8s | MSE Loss: 0.2073 | Acc (±15°): 60.61% | LR: 0.000262
Epoch 82 | Time: 90.9s | MSE Loss: 0.1985 | Acc (±15°): 62.07% | LR: 0.000253
