Epoch 0 | Time: 194.3s | MSE Loss: 0.5029 | Acc (±15°): 21.48% | LR: 0.000500
Epoch 0 | Time: 199.0s | MSE Loss: 0.4470 | Acc (±15°): 29.62% | LR: 0.001000
Epoch 0 | Time: 198.6s | MSE Loss: 0.4832 | Acc (±15°): 28.26% | LR: 0.001000
Epoch 1 | Time: 200.1s | MSE Loss: 0.3050 | Acc (±15°): 43.42% | LR: 0.000991
Epoch 2 | Time: 198.9s | MSE Loss: 0.2761 | Acc (±15°): 45.35% | LR: 0.000982
Epoch 3 | Time: 198.9s | MSE Loss: 0.2666 | Acc (±15°): 47.01% | LR: 0.000973
Epoch 4 | Time: 198.3s | MSE Loss: 0.2578 | Acc (±15°): 47.64% | LR: 0.000964
Epoch 5 | Time: 199.3s | MSE Loss: 0.2451 | Acc (±15°): 48.55% | LR: 0.000955
Epoch 6 | Time: 199.5s | MSE Loss: 0.2446 | Acc (±15°): 49.21% | LR: 0.000946
Epoch 7 | Time: 195.9s | MSE Loss: 0.2471 | Acc (±15°): 48.12% | LR: 0.000937
Epoch 8 | Time: 194.3s | MSE Loss: 0.2374 | Acc (±15°): 49.59% | LR: 0.000928
Epoch 9 | Time: 198.3s | MSE Loss: 0.2354 | Acc (±15°): 48.95% | LR: 0.000919
Epoch 10 | Time: 202.1s | MSE Loss: 0.2261 | Acc (±15°): 50.02% | LR: 0.000910
Epoch 11 | Time: 199.2s | MSE Loss: 0.2372 | Acc (±15°): 49.48% | LR: 0.000901
Epoch 12 | Time: 199.0s | MSE Loss: 0.2293 | Acc (±15°): 49.99% | LR: 0.000892
Epoch 13 | Time: 200.1s | MSE Loss: 0.2532 | Acc (±15°): 46.03% | LR: 0.000883
Epoch 14 | Time: 198.6s | MSE Loss: 0.2588 | Acc (±15°): 46.73% | LR: 0.000874
Epoch 15 | Time: 200.0s | MSE Loss: 0.2354 | Acc (±15°): 49.23% | LR: 0.000865
Epoch 16 | Time: 201.1s | MSE Loss: 0.2389 | Acc (±15°): 48.33% | LR: 0.000856
Epoch 0 | Time: 197.4s | MSE Loss: 0.4421 | Acc (±15°): 30.50% | LR: 0.001000
Epoch 1 | Time: 200.9s | MSE Loss: 0.3072 | Acc (±15°): 40.88% | LR: 0.000991
Epoch 2 | Time: 200.1s | MSE Loss: 0.2750 | Acc (±15°): 45.16% | LR: 0.000982
Epoch 3 | Time: 200.2s | MSE Loss: 0.2743 | Acc (±15°): 45.17% | LR: 0.000973
Epoch 4 | Time: 185.4s | MSE Loss: 0.3041 | Acc (±15°): 41.92% | LR: 0.000964
Epoch 5 | Time: 187.0s | MSE Loss: 0.2754 | Acc (±15°): 45.27% | LR: 0.000955
Epoch 6 | Time: 179.0s | MSE Loss: 0.2531 | Acc (±15°): 47.58% | LR: 0.000946
Epoch 7 | Time: 173.8s | MSE Loss: 0.2681 | Acc (±15°): 47.24% | LR: 0.000937
Epoch 8 | Time: 179.2s | MSE Loss: 0.2442 | Acc (±15°): 48.09% | LR: 0.000928
Epoch 9 | Time: 189.5s | MSE Loss: 0.2580 | Acc (±15°): 46.53% | LR: 0.000919
Epoch 10 | Time: 188.6s | MSE Loss: 0.2791 | Acc (±15°): 45.45% | LR: 0.000910
