Epoch 0 | Time: 191.6s | MSE Loss: 0.2121 | Acc (±15°): 56.79% | LR: 0.000998
Epoch 1 | Time: 279.3s | MSE Loss: 0.2066 | Acc (±15°): 58.06% | LR: 0.000996
Epoch 2 | Time: 281.3s | MSE Loss: 0.2137 | Acc (±15°): 56.52% | LR: 0.000995
Epoch 3 | Time: 275.1s | MSE Loss: 0.2140 | Acc (±15°): 56.98% | LR: 0.000993
Epoch 4 | Time: 273.4s | MSE Loss: 0.2038 | Acc (±15°): 58.68% | LR: 0.000991
Epoch 5 | Time: 272.0s | MSE Loss: 0.2045 | Acc (±15°): 58.22% | LR: 0.000989
Epoch 6 | Time: 266.6s | MSE Loss: 0.2058 | Acc (±15°): 57.62% | LR: 0.000987
Epoch 7 | Time: 222.7s | MSE Loss: 0.2012 | Acc (±15°): 58.31% | LR: 0.000986
Epoch 8 | Time: 150.0s | MSE Loss: 0.2117 | Acc (±15°): 57.30% | LR: 0.000984
Epoch 9 | Time: 143.8s | MSE Loss: 0.2158 | Acc (±15°): 56.38% | LR: 0.000982
Epoch 10 | Time: 144.3s | MSE Loss: 0.2042 | Acc (±15°): 57.71% | LR: 0.000980
Epoch 11 | Time: 144.8s | MSE Loss: 0.1965 | Acc (±15°): 59.07% | LR: 0.000978
Epoch 12 | Time: 145.0s | MSE Loss: 0.2075 | Acc (±15°): 57.77% | LR: 0.000977
Epoch 13 | Time: 151.8s | MSE Loss: 0.2060 | Acc (±15°): 58.72% | LR: 0.000975
Epoch 14 | Time: 146.7s | MSE Loss: 0.1977 | Acc (±15°): 58.77% | LR: 0.000973
Epoch 15 | Time: 144.2s | MSE Loss: 0.3212 | Acc (±15°): 42.62% | LR: 0.000971
Epoch 16 | Time: 144.6s | MSE Loss: 0.2339 | Acc (±15°): 52.79% | LR: 0.000969
Epoch 17 | Time: 145.0s | MSE Loss: 0.2195 | Acc (±15°): 55.35% | LR: 0.000968
Epoch 18 | Time: 149.6s | MSE Loss: 0.2114 | Acc (±15°): 56.37% | LR: 0.000966
Epoch 19 | Time: 149.9s | MSE Loss: 0.2134 | Acc (±15°): 57.42% | LR: 0.000964
Epoch 20 | Time: 145.5s | MSE Loss: 0.2141 | Acc (±15°): 56.68% | LR: 0.000962
Epoch 21 | Time: 144.4s | MSE Loss: 0.2100 | Acc (±15°): 56.74% | LR: 0.000960
Epoch 22 | Time: 145.4s | MSE Loss: 0.2288 | Acc (±15°): 53.73% | LR: 0.000959
Epoch 23 | Time: 145.4s | MSE Loss: 0.2151 | Acc (±15°): 55.97% | LR: 0.000957
Epoch 24 | Time: 149.6s | MSE Loss: 0.2112 | Acc (±15°): 57.26% | LR: 0.000955
Epoch 25 | Time: 145.2s | MSE Loss: 0.2143 | Acc (±15°): 57.10% | LR: 0.000953
Epoch 26 | Time: 145.0s | MSE Loss: 0.2016 | Acc (±15°): 58.31% | LR: 0.000951
Epoch 27 | Time: 143.7s | MSE Loss: 0.1983 | Acc (±15°): 58.76% | LR: 0.000950
Epoch 28 | Time: 143.4s | MSE Loss: 0.2028 | Acc (±15°): 58.26% | LR: 0.000948
Epoch 29 | Time: 150.4s | MSE Loss: 0.2034 | Acc (±15°): 58.44% | LR: 0.000946
Epoch 30 | Time: 149.6s | MSE Loss: 0.2064 | Acc (±15°): 57.66% | LR: 0.000944
Epoch 31 | Time: 146.7s | MSE Loss: 0.2088 | Acc (±15°): 57.25% | LR: 0.000942
Epoch 32 | Time: 145.0s | MSE Loss: 0.2053 | Acc (±15°): 57.63% | LR: 0.000941
Epoch 33 | Time: 144.5s | MSE Loss: 0.2155 | Acc (±15°): 55.97% | LR: 0.000939
Epoch 34 | Time: 152.8s | MSE Loss: 0.2423 | Acc (±15°): 54.47% | LR: 0.000937
Epoch 35 | Time: 149.1s | MSE Loss: 0.2134 | Acc (±15°): 56.56% | LR: 0.000935
Epoch 36 | Time: 145.7s | MSE Loss: 0.2039 | Acc (±15°): 58.75% | LR: 0.000933
Epoch 37 | Time: 144.8s | MSE Loss: 0.2047 | Acc (±15°): 58.45% | LR: 0.000932
Epoch 38 | Time: 145.6s | MSE Loss: 0.2095 | Acc (±15°): 57.17% | LR: 0.000930
Epoch 39 | Time: 145.5s | MSE Loss: 0.2232 | Acc (±15°): 54.93% | LR: 0.000928
Epoch 40 | Time: 151.9s | MSE Loss: 0.2148 | Acc (±15°): 56.76% | LR: 0.000926
Epoch 41 | Time: 146.8s | MSE Loss: 0.2018 | Acc (±15°): 58.75% | LR: 0.000924
Epoch 42 | Time: 146.5s | MSE Loss: 0.2036 | Acc (±15°): 58.45% | LR: 0.000923
Epoch 43 | Time: 144.9s | MSE Loss: 0.1987 | Acc (±15°): 58.35% | LR: 0.000921
