Epoch 0 | Time: 36.8s | MSE Loss: 0.1407 | Acc (±15°): 68.69% | LR: 0.000499
Epoch 1 | Time: 43.4s | MSE Loss: 0.1410 | Acc (±15°): 69.84% | LR: 0.000498
Epoch 2 | Time: 33.0s | MSE Loss: 0.1334 | Acc (±15°): 70.54% | LR: 0.000498
Epoch 3 | Time: 32.3s | MSE Loss: 0.1425 | Acc (±15°): 68.70% | LR: 0.000497
Epoch 4 | Time: 33.1s | MSE Loss: 0.1357 | Acc (±15°): 69.78% | LR: 0.000496
Epoch 5 | Time: 40.8s | MSE Loss: 0.1414 | Acc (±15°): 69.34% | LR: 0.000495
Epoch 6 | Time: 40.5s | MSE Loss: 0.1367 | Acc (±15°): 70.30% | LR: 0.000494
Epoch 7 | Time: 32.6s | MSE Loss: 0.1361 | Acc (±15°): 70.46% | LR: 0.000494
Epoch 8 | Time: 32.3s | MSE Loss: 0.1382 | Acc (±15°): 70.47% | LR: 0.000493
Epoch 9 | Time: 32.1s | MSE Loss: 0.1422 | Acc (±15°): 69.95% | LR: 0.000492
Epoch 10 | Time: 40.8s | MSE Loss: 0.1306 | Acc (±15°): 70.90% | LR: 0.000491
Epoch 11 | Time: 37.7s | MSE Loss: 0.1390 | Acc (±15°): 70.67% | LR: 0.000490
Epoch 12 | Time: 33.4s | MSE Loss: 0.1359 | Acc (±15°): 70.30% | LR: 0.000490
Epoch 13 | Time: 32.6s | MSE Loss: 0.1380 | Acc (±15°): 70.86% | LR: 0.000489
Epoch 14 | Time: 35.0s | MSE Loss: 0.1340 | Acc (±15°): 71.07% | LR: 0.000488
Epoch 15 | Time: 37.0s | MSE Loss: 0.1334 | Acc (±15°): 70.73% | LR: 0.000487
Epoch 16 | Time: 37.9s | MSE Loss: 0.1333 | Acc (±15°): 71.01% | LR: 0.000486
Epoch 17 | Time: 32.2s | MSE Loss: 0.1364 | Acc (±15°): 70.99% | LR: 0.000486
Epoch 18 | Time: 32.6s | MSE Loss: 0.1337 | Acc (±15°): 70.63% | LR: 0.000485
Epoch 19 | Time: 34.5s | MSE Loss: 0.1298 | Acc (±15°): 71.71% | LR: 0.000484
Epoch 20 | Time: 34.0s | MSE Loss: 0.1382 | Acc (±15°): 70.80% | LR: 0.000483
Epoch 21 | Time: 36.6s | MSE Loss: 0.1266 | Acc (±15°): 71.64% | LR: 0.000482
Epoch 22 | Time: 32.6s | MSE Loss: 0.1350 | Acc (±15°): 71.03% | LR: 0.000482
Epoch 23 | Time: 34.4s | MSE Loss: 0.1299 | Acc (±15°): 71.87% | LR: 0.000481
Epoch 24 | Time: 32.8s | MSE Loss: 0.1855 | Acc (±15°): 63.97% | LR: 0.000480
Epoch 25 | Time: 33.0s | MSE Loss: 0.1820 | Acc (±15°): 63.26% | LR: 0.000479
Epoch 26 | Time: 42.4s | MSE Loss: 0.1649 | Acc (±15°): 65.94% | LR: 0.000478
Epoch 27 | Time: 33.1s | MSE Loss: 0.1513 | Acc (±15°): 67.84% | LR: 0.000478
Epoch 28 | Time: 33.9s | MSE Loss: 0.1500 | Acc (±15°): 68.66% | LR: 0.000477
Epoch 29 | Time: 33.4s | MSE Loss: 0.1482 | Acc (±15°): 68.55% | LR: 0.000476
Epoch 30 | Time: 32.8s | MSE Loss: 0.1437 | Acc (±15°): 69.40% | LR: 0.000475
Epoch 31 | Time: 38.0s | MSE Loss: 0.1431 | Acc (±15°): 69.00% | LR: 0.000474
Epoch 32 | Time: 38.7s | MSE Loss: 0.1402 | Acc (±15°): 69.03% | LR: 0.000474
Epoch 33 | Time: 32.9s | MSE Loss: 0.1426 | Acc (±15°): 69.71% | LR: 0.000473
Epoch 34 | Time: 32.8s | MSE Loss: 0.1394 | Acc (±15°): 69.75% | LR: 0.000472
Epoch 35 | Time: 32.7s | MSE Loss: 0.1365 | Acc (±15°): 70.42% | LR: 0.000471
Epoch 36 | Time: 44.4s | MSE Loss: 0.1467 | Acc (±15°): 68.79% | LR: 0.000470
Epoch 37 | Time: 33.7s | MSE Loss: 0.1430 | Acc (±15°): 69.53% | LR: 0.000470
Epoch 38 | Time: 32.7s | MSE Loss: 0.1376 | Acc (±15°): 70.41% | LR: 0.000469
Epoch 39 | Time: 32.7s | MSE Loss: 0.1397 | Acc (±15°): 70.36% | LR: 0.000468
Epoch 40 | Time: 36.1s | MSE Loss: 0.1404 | Acc (±15°): 69.64% | LR: 0.000467
Epoch 41 | Time: 40.3s | MSE Loss: 0.1325 | Acc (±15°): 71.20% | LR: 0.000466
