Epoch 496 | Time: 40.1s | MSE Loss: 0.1184 | Acc (±15°): 74.14% | LR: 0.000401
Epoch 497 | Time: 26.6s | MSE Loss: 0.1254 | Acc (±15°): 72.36% | LR: 0.000400
Epoch 498 | Time: 27.4s | MSE Loss: 0.1255 | Acc (±15°): 73.00% | LR: 0.000400
Epoch 499 | Time: 26.7s | MSE Loss: 0.1253 | Acc (±15°): 73.17% | LR: 0.000400
Epoch 500 | Time: 28.9s | MSE Loss: 0.1231 | Acc (±15°): 72.94% | LR: 0.000400
Epoch 501 | Time: 34.0s | MSE Loss: 0.1222 | Acc (±15°): 72.63% | LR: 0.000400
Epoch 502 | Time: 31.7s | MSE Loss: 0.1264 | Acc (±15°): 73.11% | LR: 0.000399
Epoch 503 | Time: 27.1s | MSE Loss: 0.1257 | Acc (±15°): 72.75% | LR: 0.000399
Epoch 504 | Time: 27.2s | MSE Loss: 0.1240 | Acc (±15°): 72.95% | LR: 0.000399
Epoch 505 | Time: 28.5s | MSE Loss: 0.1193 | Acc (±15°): 73.48% | LR: 0.000399
Epoch 506 | Time: 26.6s | MSE Loss: 0.1229 | Acc (±15°): 73.74% | LR: 0.000399
Epoch 507 | Time: 28.8s | MSE Loss: 0.1182 | Acc (±15°): 73.83% | LR: 0.000398
Epoch 508 | Time: 33.5s | MSE Loss: 0.1221 | Acc (±15°): 73.43% | LR: 0.000398
Epoch 509 | Time: 30.2s | MSE Loss: 0.1344 | Acc (±15°): 71.57% | LR: 0.000398
Epoch 510 | Time: 27.0s | MSE Loss: 0.1421 | Acc (±15°): 70.70% | LR: 0.000398
Epoch 511 | Time: 26.1s | MSE Loss: 0.1330 | Acc (±15°): 71.62% | LR: 0.000398
Epoch 512 | Time: 27.0s | MSE Loss: 0.1239 | Acc (±15°): 73.18% | LR: 0.000397
Epoch 513 | Time: 29.1s | MSE Loss: 0.1233 | Acc (±15°): 73.51% | LR: 0.000397
Epoch 514 | Time: 36.4s | MSE Loss: 0.1298 | Acc (±15°): 72.50% | LR: 0.000397
Epoch 515 | Time: 27.7s | MSE Loss: 0.1207 | Acc (±15°): 73.27% | LR: 0.000397
Epoch 516 | Time: 26.6s | MSE Loss: 0.1249 | Acc (±15°): 72.87% | LR: 0.000397
Epoch 517 | Time: 26.7s | MSE Loss: 0.1254 | Acc (±15°): 73.17% | LR: 0.000396
Epoch 518 | Time: 30.1s | MSE Loss: 0.1273 | Acc (±15°): 72.92% | LR: 0.000396
Epoch 519 | Time: 26.8s | MSE Loss: 0.1207 | Acc (±15°): 74.10% | LR: 0.000396
Epoch 520 | Time: 32.7s | MSE Loss: 0.1239 | Acc (±15°): 73.17% | LR: 0.000396
Epoch 521 | Time: 31.1s | MSE Loss: 0.1255 | Acc (±15°): 72.81% | LR: 0.000396
Epoch 522 | Time: 28.3s | MSE Loss: 0.1239 | Acc (±15°): 73.00% | LR: 0.000395
Epoch 523 | Time: 26.7s | MSE Loss: 0.1220 | Acc (±15°): 73.76% | LR: 0.000395
Epoch 524 | Time: 26.7s | MSE Loss: 0.1233 | Acc (±15°): 73.15% | LR: 0.000395
Epoch 525 | Time: 27.3s | MSE Loss: 0.1267 | Acc (±15°): 72.27% | LR: 0.000395
Epoch 526 | Time: 36.7s | MSE Loss: 0.1240 | Acc (±15°): 72.53% | LR: 0.000395
Epoch 527 | Time: 30.4s | MSE Loss: 0.1318 | Acc (±15°): 71.90% | LR: 0.000394
Epoch 528 | Time: 27.0s | MSE Loss: 0.1260 | Acc (±15°): 72.84% | LR: 0.000394
Epoch 529 | Time: 26.4s | MSE Loss: 0.1201 | Acc (±15°): 73.61% | LR: 0.000394
Epoch 530 | Time: 29.2s | MSE Loss: 0.1226 | Acc (±15°): 73.88% | LR: 0.000394
Epoch 531 | Time: 26.3s | MSE Loss: 0.1220 | Acc (±15°): 73.34% | LR: 0.000394
Epoch 532 | Time: 31.9s | MSE Loss: 0.1201 | Acc (±15°): 73.60% | LR: 0.000393
Epoch 533 | Time: 31.7s | MSE Loss: 0.1236 | Acc (±15°): 73.20% | LR: 0.000393
Epoch 534 | Time: 26.9s | MSE Loss: 0.1182 | Acc (±15°): 73.48% | LR: 0.000393
Epoch 535 | Time: 30.8s | MSE Loss: 0.1210 | Acc (±15°): 73.20% | LR: 0.000393
Epoch 536 | Time: 26.4s | MSE Loss: 0.1211 | Acc (±15°): 73.79% | LR: 0.000393
Epoch 537 | Time: 26.5s | MSE Loss: 0.1193 | Acc (±15°): 73.29% | LR: 0.000392
Epoch 538 | Time: 35.4s | MSE Loss: 0.1217 | Acc (±15°): 73.80% | LR: 0.000392
Epoch 539 | Time: 35.7s | MSE Loss: 0.1232 | Acc (±15°): 73.87% | LR: 0.000392
Epoch 540 | Time: 26.5s | MSE Loss: 0.1226 | Acc (±15°): 73.04% | LR: 0.000392
Epoch 541 | Time: 26.3s | MSE Loss: 0.1231 | Acc (±15°): 73.29% | LR: 0.000392
Epoch 542 | Time: 26.7s | MSE Loss: 0.1229 | Acc (±15°): 73.23% | LR: 0.000391
Epoch 543 | Time: 30.9s | MSE Loss: 0.1271 | Acc (±15°): 72.50% | LR: 0.000391
Epoch 544 | Time: 33.1s | MSE Loss: 0.1265 | Acc (±15°): 72.73% | LR: 0.000391
Epoch 545 | Time: 31.4s | MSE Loss: 0.1244 | Acc (±15°): 72.96% | LR: 0.000391
Epoch 546 | Time: 26.8s | MSE Loss: 0.1233 | Acc (±15°): 73.24% | LR: 0.000391
Epoch 547 | Time: 28.0s | MSE Loss: 0.1195 | Acc (±15°): 72.60% | LR: 0.000390
Epoch 548 | Time: 29.4s | MSE Loss: 0.1248 | Acc (±15°): 72.66% | LR: 0.000390
Epoch 549 | Time: 26.7s | MSE Loss: 0.1212 | Acc (±15°): 73.64% | LR: 0.000390
Epoch 550 | Time: 32.3s | MSE Loss: 0.1204 | Acc (±15°): 73.97% | LR: 0.000390
