Epoch 0 | Time: 46.9s | MSE Loss: 0.2113 | Acc (±15°): 61.98% | LR: 0.000499
Epoch 1 | Time: 42.9s | MSE Loss: 0.2076 | Acc (±15°): 62.04% | LR: 0.000498
Epoch 2 | Time: 43.4s | MSE Loss: 0.2031 | Acc (±15°): 62.67% | LR: 0.000498
Epoch 3 | Time: 49.6s | MSE Loss: 0.2032 | Acc (±15°): 62.63% | LR: 0.000497
Epoch 4 | Time: 43.7s | MSE Loss: 0.2017 | Acc (±15°): 62.50% | LR: 0.000496
Epoch 5 | Time: 43.7s | MSE Loss: 0.2025 | Acc (±15°): 62.35% | LR: 0.000495
Epoch 6 | Time: 42.3s | MSE Loss: 0.2005 | Acc (±15°): 63.14% | LR: 0.000494
Epoch 7 | Time: 48.8s | MSE Loss: 0.2045 | Acc (±15°): 61.93% | LR: 0.000494
Epoch 8 | Time: 42.6s | MSE Loss: 0.1988 | Acc (±15°): 62.64% | LR: 0.000493
Epoch 9 | Time: 42.4s | MSE Loss: 0.2014 | Acc (±15°): 62.48% | LR: 0.000492
Epoch 10 | Time: 45.2s | MSE Loss: 0.1981 | Acc (±15°): 62.19% | LR: 0.000491
Epoch 11 | Time: 52.4s | MSE Loss: 0.2040 | Acc (±15°): 62.53% | LR: 0.000490
Epoch 12 | Time: 43.9s | MSE Loss: 0.1949 | Acc (±15°): 62.65% | LR: 0.000490
Epoch 13 | Time: 43.1s | MSE Loss: 0.2007 | Acc (±15°): 63.17% | LR: 0.000489
Epoch 14 | Time: 41.9s | MSE Loss: 0.2009 | Acc (±15°): 62.12% | LR: 0.000488
Epoch 15 | Time: 49.8s | MSE Loss: 0.2040 | Acc (±15°): 61.94% | LR: 0.000487
Epoch 16 | Time: 40.9s | MSE Loss: 0.2036 | Acc (±15°): 62.45% | LR: 0.000486
Epoch 17 | Time: 42.9s | MSE Loss: 0.2009 | Acc (±15°): 62.27% | LR: 0.000486
Epoch 18 | Time: 42.6s | MSE Loss: 0.1972 | Acc (±15°): 62.95% | LR: 0.000485
Epoch 19 | Time: 47.8s | MSE Loss: 0.2041 | Acc (±15°): 62.43% | LR: 0.000484
Epoch 20 | Time: 42.6s | MSE Loss: 0.2043 | Acc (±15°): 61.53% | LR: 0.000483
Epoch 21 | Time: 42.3s | MSE Loss: 0.2094 | Acc (±15°): 61.94% | LR: 0.000482
Epoch 22 | Time: 42.9s | MSE Loss: 0.2018 | Acc (±15°): 62.47% | LR: 0.000482
Epoch 23 | Time: 50.2s | MSE Loss: 0.2053 | Acc (±15°): 61.82% | LR: 0.000481
Epoch 24 | Time: 43.5s | MSE Loss: 0.2025 | Acc (±15°): 62.54% | LR: 0.000480
Epoch 25 | Time: 43.5s | MSE Loss: 0.2080 | Acc (±15°): 62.08% | LR: 0.000479
Epoch 26 | Time: 44.9s | MSE Loss: 0.1989 | Acc (±15°): 62.97% | LR: 0.000478
Epoch 27 | Time: 49.9s | MSE Loss: 0.2019 | Acc (±15°): 62.91% | LR: 0.000478
Epoch 28 | Time: 44.9s | MSE Loss: 0.2083 | Acc (±15°): 62.17% | LR: 0.000477
Epoch 29 | Time: 46.7s | MSE Loss: 0.2032 | Acc (±15°): 62.16% | LR: 0.000476
