Epoch 496 | Time: 39.8s | MSE Loss: 0.1735 | Acc (±15°): 66.51% | LR: 0.000388
Epoch 497 | Time: 36.9s | MSE Loss: 0.1716 | Acc (±15°): 66.59% | LR: 0.000388
Epoch 498 | Time: 41.0s | MSE Loss: 0.1811 | Acc (±15°): 65.68% | LR: 0.000388
Epoch 499 | Time: 35.7s | MSE Loss: 0.1807 | Acc (±15°): 66.00% | LR: 0.000388
Epoch 500 | Time: 41.4s | MSE Loss: 0.1828 | Acc (±15°): 65.62% | LR: 0.000387
Epoch 501 | Time: 35.3s | MSE Loss: 0.1723 | Acc (±15°): 66.55% | LR: 0.000387
Epoch 502 | Time: 34.8s | MSE Loss: 0.1839 | Acc (±15°): 65.37% | LR: 0.000387
Epoch 503 | Time: 34.3s | MSE Loss: 0.1768 | Acc (±15°): 65.76% | LR: 0.000387
Epoch 504 | Time: 34.7s | MSE Loss: 0.1780 | Acc (±15°): 65.83% | LR: 0.000386
Epoch 505 | Time: 39.9s | MSE Loss: 0.1695 | Acc (±15°): 66.32% | LR: 0.000386
Epoch 506 | Time: 34.3s | MSE Loss: 0.1700 | Acc (±15°): 66.49% | LR: 0.000386
Epoch 507 | Time: 36.9s | MSE Loss: 0.1774 | Acc (±15°): 66.23% | LR: 0.000386
Epoch 508 | Time: 38.1s | MSE Loss: 0.1808 | Acc (±15°): 65.67% | LR: 0.000385
Epoch 509 | Time: 35.3s | MSE Loss: 0.1857 | Acc (±15°): 64.55% | LR: 0.000385
Epoch 510 | Time: 39.6s | MSE Loss: 0.1772 | Acc (±15°): 64.66% | LR: 0.000385
Epoch 511 | Time: 35.6s | MSE Loss: 0.1822 | Acc (±15°): 65.66% | LR: 0.000385
Epoch 512 | Time: 34.8s | MSE Loss: 0.1740 | Acc (±15°): 66.17% | LR: 0.000385
Epoch 513 | Time: 34.4s | MSE Loss: 0.1774 | Acc (±15°): 65.85% | LR: 0.000384
Epoch 514 | Time: 35.5s | MSE Loss: 0.1758 | Acc (±15°): 66.42% | LR: 0.000384
Epoch 515 | Time: 39.4s | MSE Loss: 0.1711 | Acc (±15°): 66.56% | LR: 0.000384
Epoch 516 | Time: 35.3s | MSE Loss: 0.1753 | Acc (±15°): 66.09% | LR: 0.000384
Epoch 517 | Time: 34.3s | MSE Loss: 0.1803 | Acc (±15°): 65.78% | LR: 0.000383
Epoch 518 | Time: 34.4s | MSE Loss: 0.1748 | Acc (±15°): 66.23% | LR: 0.000383
Epoch 519 | Time: 34.8s | MSE Loss: 0.1823 | Acc (±15°): 65.56% | LR: 0.000383
Epoch 520 | Time: 48.0s | MSE Loss: 0.1751 | Acc (±15°): 66.40% | LR: 0.000383
Epoch 521 | Time: 35.3s | MSE Loss: 0.1821 | Acc (±15°): 65.61% | LR: 0.000383
Epoch 522 | Time: 34.3s | MSE Loss: 0.1745 | Acc (±15°): 66.23% | LR: 0.000382
Epoch 523 | Time: 36.8s | MSE Loss: 0.1753 | Acc (±15°): 66.08% | LR: 0.000382
Epoch 524 | Time: 42.9s | MSE Loss: 0.1741 | Acc (±15°): 65.40% | LR: 0.000382
Epoch 525 | Time: 39.6s | MSE Loss: 0.1755 | Acc (±15°): 66.20% | LR: 0.000382
Epoch 526 | Time: 34.9s | MSE Loss: 0.1795 | Acc (±15°): 65.73% | LR: 0.000381
Epoch 527 | Time: 37.6s | MSE Loss: 0.1878 | Acc (±15°): 64.98% | LR: 0.000381
Epoch 528 | Time: 34.3s | MSE Loss: 0.1836 | Acc (±15°): 65.49% | LR: 0.000381
Epoch 529 | Time: 41.6s | MSE Loss: 0.1816 | Acc (±15°): 65.64% | LR: 0.000381
Epoch 530 | Time: 38.2s | MSE Loss: 0.1712 | Acc (±15°): 66.54% | LR: 0.000381
